date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:44	3493/3493	---M--	200	added ('OK')	text/html	etag:%2286635761117ccc1:1666%22	http://jiba.niu.bi/chapters/0005.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0005.html	(from http://jiba.niu.bi/)
10:38:45	3868/3868	---M--	200	added ('OK')	text/html	etag:%22b6d85761117ccc1:1666%22	http://jiba.niu.bi/chapters/0006.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0006.html	(from http://jiba.niu.bi/)
10:38:45	3717/3717	---M--	200	added ('OK')	text/html	etag:%22f6745861117ccc1:1666%22	http://jiba.niu.bi/chapters/0007.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0007.html	(from http://jiba.niu.bi/)
10:38:45	3880/3880	---M--	200	added ('OK')	text/html	etag:%2226ea5861117ccc1:1666%22	http://jiba.niu.bi/chapters/0008.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0008.html	(from http://jiba.niu.bi/)
10:38:46	3475/3475	---M--	200	added ('OK')	text/html	etag:%2266865961117ccc1:1666%22	http://jiba.niu.bi/chapters/0009.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0009.html	(from http://jiba.niu.bi/)
10:38:46	10277/10277	---M--	200	added ('OK')	text/html	etag:%22a6225a61117ccc1:1666%22	http://jiba.niu.bi/chapters/0010.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0010.html	(from http://jiba.niu.bi/)
10:38:46	7597/7597	---M--	200	added ('OK')	text/html	etag:%22f6e55a61117ccc1:1666%22	http://jiba.niu.bi/chapters/0011.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0011.html	(from http://jiba.niu.bi/)
10:38:47	4710/4710	---M--	200	added ('OK')	text/html	etag:%2236825b61117ccc1:1666%22	http://jiba.niu.bi/chapters/0012.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0012.html	(from http://jiba.niu.bi/)
10:38:47	9321/9321	---M--	200	added ('OK')	text/html	etag:%2266f75b61117ccc1:1666%22	http://jiba.niu.bi/chapters/0013.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0013.html	(from http://jiba.niu.bi/)
10:38:48	6444/6444	---M--	200	added ('OK')	text/html	etag:%22a6935c61117ccc1:1666%22	http://jiba.niu.bi/chapters/0014.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0014.html	(from http://jiba.niu.bi/)
